date	weekly average ssn
04/08/92	131.42857
04/15/92	109.71429
04/22/92	103.28571
04/29/92	100.71429
05/06/92	108.28571
05/13/92	63
05/20/92	72
05/27/92	151.57143
06/03/92	112.85714
06/10/92	89
06/17/92	78.14286
06/24/92	61.85714
07/01/92	82.85714
07/08/92	45.57143
07/15/92	71.57143
07/22/92	73.14286
07/29/92	64.28571
08/05/92	60.14286
08/12/92	79
08/19/92	141.57143
08/26/92	83.14286
09/02/92	47.71429
09/09/92	85.28571
09/16/92	74.28571
09/23/92	77.57143
09/30/92	35.71429
10/07/92	40.57143
10/14/92	48.28571
10/21/92	69.85714
10/28/92	69.85714
11/04/92	77.85714
11/11/92	103.42857
11/18/92	54.42857
11/25/92	78.71429
12/02/92	118.14286
12/09/92	89
12/16/92	83.14286
12/23/92	85
12/30/92	108
01/06/93	80.14286
01/13/93	63.57143
01/20/93	111.28571
01/27/93	89.14286
02/03/93	76.14286
02/10/93	59
02/17/93	90.42857
02/24/93	58.85714
03/03/93	39.57143
03/10/93	45.28571
03/17/93	119.57143
03/24/93	82.85714
03/31/93	93.71429
04/07/93	84.71429
04/14/93	89.71429
04/21/93	63.57143
04/28/93	62.57143
05/05/93	55.42857
05/12/93	76.14286
05/19/93	44.14286
05/26/93	61
06/02/93	70.28571
06/09/93	52.28571
06/16/93	98.28571
06/23/93	35.71429
06/30/93	39.57143
07/07/93	95.14286
07/14/93	65.71429
07/21/93	16.42857
07/28/93	29.85714
08/04/93	65.85714
08/11/93	60.42857
08/18/93	45.57143
08/25/93	69.57143
09/01/93	59.42857
09/08/93	38.14286
09/15/93	56.28571
09/22/93	33.57143
09/29/93	41.57143
10/06/93	37.57143
10/13/93	17.28571
10/20/93	11.85714
10/27/93	16.28571
11/03/93	43.42857
11/10/93	81.71429
11/17/93	56.14286
11/24/93	52.28571
12/01/93	47.85714
12/08/93	21.57143
12/15/93	27.85714
12/22/93	27.28571
12/29/93	49.14286
01/05/94	55.71429
01/12/94	59.85714
01/19/94	23.71429
01/26/94	32.85714
02/02/94	68.28571
02/09/94	94.71429
02/16/94	59.42857
02/23/94	31.14286
03/02/94	62.71429
03/09/94	36.28571
03/16/94	40.14286
03/23/94	37.71429
03/30/94	29.57143
04/06/94	44.57143
04/13/94	47.42857
04/20/94	28
04/27/94	19.14286
05/04/94	22
05/11/94	3.42857
05/18/94	10.14286
05/25/94	20.71429
06/01/94	31.57143
06/08/94	17.28571
06/15/94	16.85714
06/22/94	32.28571
06/29/94	15.42857
07/06/94	0
07/13/94	16.28571
07/20/94	55.57143
07/27/94	25.57143
08/03/94	22.57143
08/10/94	36.57143
08/17/94	59
08/24/94	40.14286
08/31/94	15.42857
09/07/94	11
09/14/94	15.28571
09/21/94	40.57143
09/28/94	21.28571
10/05/94	21
10/12/94	55.28571
10/19/94	18.14286
10/26/94	9.57143
11/02/94	19.14286
11/09/94	27.85714
11/16/94	47.14286
11/23/94	52.42857
11/30/94	38
12/07/94	49.85714
12/14/94	23.28571
12/21/94	10.85714
12/28/94	10.57143
01/04/95	15.71429
01/11/95	13
01/18/95	43
01/25/95	28.14286
02/01/95	27.57143
02/08/95	10.42857
02/15/95	9.57143
02/22/95	21.14286
03/01/95	50.28571
03/08/95	29.28571
03/15/95	27
03/22/95	18
03/29/95	41.42857
04/05/95	37.71429
04/12/95	40.71429
04/19/95	10
04/26/95	37.28571
05/03/95	31.42857
05/10/95	11.57143
05/17/95	8.42857
05/24/95	38.57143
05/31/95	4.57143
06/07/95	2.42857
06/14/95	9.85714
06/21/95	34
06/28/95	12.14286
07/05/95	6.85714
07/12/95	20.71429
07/19/95	18.14286
07/26/95	11.28571
08/02/95	12.42857
08/09/95	22.14286
08/16/95	20.71429
08/23/95	17.57143
08/30/95	5.71429
09/06/95	8
09/13/95	14.85714
09/20/95	9.42857
09/27/95	8.85714
10/04/95	23.57143
10/11/95	10.42857
10/18/95	2.42857
10/25/95	10.28571
11/01/95	25
11/08/95	2.42857
11/15/95	25
11/22/95	38.85714
11/29/95	23.57143
12/06/95	7
12/13/95	5.85714
12/20/95	12.42857
12/27/95	14.71429
01/03/96	4.57143
01/10/96	13.42857
01/17/96	13.14286
01/24/96	3.57143
01/31/96	11.57143
02/07/96	11.42857
02/14/96	28.71429
02/21/96	0
02/28/96	4.14286
03/06/96	10.42857
03/13/96	2.28571
03/20/96	1
03/27/96	3.71429
04/03/96	10
04/10/96	4.57143
04/17/96	8.71429
04/24/96	8.57143
05/01/96	17.28571
05/08/96	5.57143
05/15/96	0
05/22/96	6.57143
05/29/96	9.85714
06/05/96	0
06/12/96	6.85714
06/19/96	13.85714
06/26/96	3.42857
07/03/96	0
07/10/96	9.57143
07/17/96	13.57143
07/24/96	5
07/31/96	14.85714
08/07/96	11.28571
08/14/96	17.28571
08/21/96	3.14286
08/28/96	0
09/04/96	14.71429
09/11/96	17.28571
09/18/96	17
09/25/96	10
10/02/96	12
10/09/96	8.85714
10/16/96	2.85714
10/23/96	0
10/30/96	0
11/06/96	0
11/13/96	0
11/20/96	0
11/27/96	0
12/04/96	4
12/11/96	0
12/18/96	8
12/25/96	17.71429
01/01/97	43
01/08/97	13
01/15/97	14.71429
01/22/97	27.85714
01/29/97	11.42857
02/05/97	0
02/12/97	7.14286
02/19/97	6.28571
02/26/97	2.71429
03/05/97	7.85714
03/12/97	20.57143
03/19/97	4.42857
03/26/97	4.57143
04/02/97	2.14286
04/09/97	1.14286
04/16/97	14.42857
04/23/97	11.71429
04/30/97	1.42857
05/07/97	22
05/14/97	19.71429
05/21/97	21.14286
05/28/97	5.42857
06/04/97	8
06/11/97	6.14286
06/18/97	12.57143
06/25/97	31.57143
07/02/97	27.14286
07/09/97	15.71429
07/16/97	13
07/23/97	16.71429
07/30/97	9.57143
08/06/97	5.14286
08/13/97	14.14286
08/20/97	2.28571
08/27/97	11.14286
09/03/97	17.14286
09/10/97	17.71429
09/17/97	39
09/24/97	16.85714
10/01/97	15.71429
10/08/97	49.28571
10/15/97	75.85714
10/22/97	64.42857
10/29/97	33.42857
11/05/97	22.14286
11/12/97	19.14286
11/19/97	26.57143
11/26/97	21.42857
12/03/97	22.28571
12/10/97	49.28571
12/17/97	28.42857
12/24/97	38.14286
12/31/97	39.85714
01/07/98	38.57143
01/14/98	50.42857
01/21/98	41.85714
01/28/98	32.42857
02/04/98	40.85714
02/11/98	12.14286
02/18/98	24.71429
02/25/98	33.71429
03/04/98	58.42857
03/11/98	22.28571
03/18/98	35.28571
03/25/98	56.42857
04/01/98	39.71429
04/08/98	46.57143
04/15/98	44.42857
04/22/98	66.57143
04/29/98	61.14286
05/06/98	54.42857
05/13/98	78.71429
05/20/98	77.71429
05/27/98	31.71429
06/03/98	24.14286
06/10/98	71.85714
06/17/98	64.71429
06/24/98	60.28571
07/01/98	35.57143
07/08/98	50.28571
07/15/98	73.85714
07/22/98	66.71429
07/29/98	57.14286
08/05/98	98.57143
08/12/98	69.14286
08/19/98	52.57143
08/26/98	66.28571
09/02/98	70.14286
09/09/98	72.85714
09/16/98	110.85714
09/23/98	89
09/30/98	84.71429
10/07/98	98.28571
10/14/98	104.57143
10/21/98	78.71429
10/28/98	113.14286
11/04/98	68.42857
11/11/98	45.42857
11/18/98	62.14286
11/25/98	83.57143
12/02/98	35.28571
12/09/98	60.42857
12/16/98	81.57143
12/23/98	70.28571
12/30/98	59.57143
01/06/99	104.57143
01/13/99	96.28571
01/20/99	79.28571
01/27/99	49.57143
02/03/99	93.57143
02/10/99	61.57143
02/17/99	45.28571
02/24/99	102.28571
03/03/99	54.28571
03/10/99	23.71429
03/17/99	39.14286
03/24/99	127.28571
03/31/99	59.42857
04/07/99	78.57143
04/14/99	66
04/21/99	91.42857
04/28/99	59.85714
05/05/99	41.85714
05/12/99	71.71429
05/19/99	80.42857
05/26/99	54.14286
06/02/99	50.85714
06/09/99	84.28571
06/16/99	133.71429
06/23/99	98
06/30/99	100.42857
07/07/99	121.85714
07/14/99	141.42857
07/21/99	138.14286
07/28/99	106.42857
08/04/99	166.57143
08/11/99	129.14286
08/18/99	105.57143
08/25/99	82.14286
09/01/99	121.28571
09/08/99	149.57143
09/15/99	78.57143
09/22/99	47.57143
09/29/99	85.85714
10/06/99	123.14286
10/13/99	70.42857
